Sil_r0_0_E 0.08109691 0.00126278
Sil_r0_0_P 124.78985135 22.59098935
Sil_r0_1_E 0.12256846 0.00119737
Sil_r0_1_P 125.96510176 21.68064136
Sil_r0_2_E 0.06978689 0.00120731
Sil_r0_2_P 124.78882301 24.45444077
Sil_r0_3_E -0.00151250 0.00131900
Sil_r0_3_P 143.49775656 19.53202918
Sil_r0_4_E 0.12291875 0.00121005
Sil_r0_4_P 140.55588178 20.50256391
Sil_r0_5_E 0.03876177 0.00127080
Sil_r0_5_P 118.04866951 10.48104452
Sil_r0_6_E -0.17041973 0.00116067
Sil_r0_6_P 272.90260549 21.43067091
Sil_r0_7_E -0.05187935 0.00135135
Sil_r0_7_P 261.30207450 25.68113888
Sil_r0_8_E -0.16981285 0.00133082
Sil_r0_8_P 271.96762164 18.48884557
Sil_r0_9_E -0.18019525 0.00109269
Sil_r0_9_P 274.36583125 33.56066836
Sil_r0_10_E 0.00000000 0.00000000
Sil_r0_10_P 258.99389213 7.83309766
Sil_r0_11_E -0.10773449 0.00121203
Sil_r0_11_P 257.99548299 23.56748508
